"Country","count"
"Australia",25
"Bangladesh",12
"Brazil",24
"Cambodia",5
"Canada",56
"China",275
"Colombia",6
"Dubai",3
"Estonia",2
"Fiji",4
"Finland",3
"France",6
"Germany",37
"Ghana",2
"Holland",4
"Hong Kong",200
"Hungary",9
"India",46
"Indonesia",167
"Ireland",4
"Israel",3
"Italy",4
"Japan",741
"Malaysia",218
"Mexico",32
"Myanmar",14
"Nepal",14
"Netherlands",16
"New Zealand",1
"Nigeria",2
"Pakistan",13
"Peru",4
"Philippines",52
"Phlippines",1
"Poland",6
"Portugal",1
"Russia",5
"Russian Federation",2
"Sarawak",5
"Serbia",5
"Singapore",144
"Souh Korea",1
"South Korea",418
"Spain",3
"Sweden",3
"Taiwan",395
"Thailand",223
"UK",75
"Ukraine",3
"United Kingdom",1
"United States",512
"USA",1
"Vietnam",127
